Startbahnhof;Zugnummer;Zielbahnhof;Ankunft_Plan;Ankunft_tatsächlich;Verspätung
Hamm(Westf)Hbf;RE 1 (63836);Köln Hbf;19.09.2025, 23:12;20.09.2025, 00:19;68
Hamm(Westf)Hbf;RE 1 (63818);Köln Hbf;20.09.2025, 14:12;20.09.2025, 15:13;62
Münster(Westf)Hbf;RE 7 (17423);Köln Hbf;20.09.2025, 16:38;20.09.2025, 17:45;67
Hamm(Westf)Hbf;RE 1 (63846);Köln Hbf;21.09.2025, 03:13;21.09.2025, 04:17;65
Essen Hbf;RE 6 (63708);Köln Hbf;22.09.2025, 08:52;22.09.2025, 10:05;74
Hamm(Westf)Hbf;RE 1 (63808);Köln Hbf;22.09.2025, 09:12;22.09.2025, 10:24;72
Essen Hbf;RE 6 (63710);Köln Hbf;22.09.2025, 09:50;22.09.2025, 11:06;77
Hamm(Westf)Hbf;RE 1 (63810);Köln Hbf;22.09.2025, 10:12;22.09.2025, 11:30;78
Hamm(Westf)Hbf;RE 1 (63812);Köln Hbf;22.09.2025, 11:12;22.09.2025, 13:02;110
Köln/Bonn Flughafen;RE 6 (63721);Köln Hbf;22.09.2025, 12:01;22.09.2025, 13:04;63
Aachen Hbf;RE 1 (63819);Köln Hbf;22.09.2025, 12:44;22.09.2025, 13:44;61
Hamm(Westf)Hbf;RE 1 (63814);Köln Hbf;22.09.2025, 12:11;22.09.2025, 13:48;98
Hamm(Westf)Hbf;RE 1 (63816);Köln Hbf;22.09.2025, 13:12;22.09.2025, 14:18;66
Aachen Hbf;RE 1 (63821);Köln Hbf;22.09.2025, 13:44;22.09.2025, 14:44;60
Hamm(Westf)Hbf;RE 1 (63818);Köln Hbf;22.09.2025, 14:12;22.09.2025, 15:41;89
Krefeld Hbf;RE 7 (17420);Köln Hbf;22.09.2025, 14:18;22.09.2025, 15:54;97
Hamm(Westf)Hbf;RE 1 (63820);Köln Hbf;22.09.2025, 15:12;22.09.2025, 16:36;85
Rheine;RE 7 (17421);Köln Hbf;22.09.2025, 15:38;22.09.2025, 16:38;60
Wuppertal-Oberbarmen;RB 48 (17345);Köln Hbf;22.09.2025, 15:05;22.09.2025, 16:45;101
Wuppertal-Oberbarmen;RB 48 (17349);Köln Hbf;22.09.2025, 16:05;22.09.2025, 17:08;64
Köln Messe/Deutz;RB 24 (10441);Köln Hbf;22.09.2025, 17:41;22.09.2025, 18:43;62
Hamm(Westf)Hbf;RE 1 (63830);Köln Hbf;22.09.2025, 20:12;22.09.2025, 21:16;64
Krefeld Hbf;TRI RE7 (89453);Köln Hbf;23.09.2025, 00:18;23.09.2025, 01:34;76
Friedrichsfeld(Niederrhein);RE 5 (28507);Köln Hbf;23.09.2025, 08:29;23.09.2025, 10:24;115
Hamm(Westf)Hbf;RE 1 (63808);Köln Hbf;23.09.2025, 09:12;23.09.2025, 10:19;67
Köln Hansaring;RB 25 (10544);Köln Hbf;23.09.2025, 12:23;23.09.2025, 13:31;69
Bonn-Mehlem;RB 48 (17350);Köln Hbf;23.09.2025, 16:22;23.09.2025, 17:38;77
Dortmund Hbf;RE 1 (63838);Köln Hbf;24.09.2025, 00:12;24.09.2025, 01:30;79
Wuppertal-Oberbarmen;RB 48 (17311);Köln Hbf;24.09.2025, 06:33;24.09.2025, 08:20;108
Aachen Hbf;RE 1 (26855);Köln Hbf;24.09.2025, 07:31;24.09.2025, 08:41;70
Aachen Hbf;RE 1 (63809);Köln Hbf;24.09.2025, 07:44;24.09.2025, 09:07;84
Gerolstein;RE 22 (10010);Köln Hbf;24.09.2025, 08:39;24.09.2025, 10:06;87
Hamm(Westf)Hbf;RE 1 (63808);Köln Hbf;24.09.2025, 09:12;24.09.2025, 11:10;118
Neuwied;RB 27 (10640);Köln Hbf;26.09.2025, 01:22;26.09.2025, 02:27;66
Rheine;RE 7 (17431);Köln Hbf;26.09.2025, 20:38;26.09.2025, 21:41;64
