Startbahnhof;Zugnummer;Zielbahnhof;Ankunft_Plan;Ankunft_tatsächlich;Verspätung
Hamm(Westf)Hbf;RE 1 (26804);Köln Hbf;01.08.2025, 07:12;01.08.2025, 08:26;74
Oberhausen Hbf;RE 5 (28505);Köln Hbf;01.08.2025, 07:29;01.08.2025, 08:34;66
Hamm(Westf)Hbf;RE 1 (26806);Köln Hbf;01.08.2025, 08:12;01.08.2025, 09:58;106
Oberhausen Hbf;RE 5 (28509);Köln Hbf;01.08.2025, 09:29;01.08.2025, 10:44;75
Hamm(Westf)Hbf;RE 1 (26808);Köln Hbf;01.08.2025, 09:12;01.08.2025, 11:01;109
Hamm(Westf)Hbf;RE 1 (26814);Köln Hbf;01.08.2025, 12:10;01.08.2025, 13:18;69
Hamm(Westf)Hbf;RE 1 (26818);Köln Hbf;01.08.2025, 14:12;01.08.2025, 15:19;68
Hamm(Westf)Hbf;RE 1 (26820);Köln Hbf;01.08.2025, 15:12;01.08.2025, 16:15;64
Hamm(Westf)Hbf;RE 1 (26822);Köln Hbf;01.08.2025, 16:12;01.08.2025, 17:15;64
Hamm(Westf)Hbf;RE 1 (26828);Köln Hbf;01.08.2025, 19:12;01.08.2025, 20:44;92
Hamm(Westf)Hbf;RE 1 (26830);Köln Hbf;01.08.2025, 20:12;01.08.2025, 21:36;85
Hamm(Westf)Hbf;RE 1 (26832);Köln Hbf;01.08.2025, 21:12;01.08.2025, 22:19;68
Mainz Hbf;RB 26 (25416);Köln Hbf;05.08.2025, 10:02;05.08.2025, 11:04;62
Bonn-Mehlem;RB 48 (17326);Köln Hbf;05.08.2025, 10:22;05.08.2025, 11:50;88
Koblenz Hbf;RE 5 (28512);Köln Hbf;05.08.2025, 10:28;05.08.2025, 12:05;98
Bonn-Mehlem;RB 27792 (27792);Köln Hbf;05.08.2025, 11:22;05.08.2025, 12:50;88
Bonn-Mehlem;RB 48 (17334);Köln Hbf;05.08.2025, 12:22;05.08.2025, 13:35;73
Minden(Westf);RE 6 (89718);Köln Hbf;05.08.2025, 13:50;05.08.2025, 15:07;77
Wuppertal-Oberbarmen;RB 48 (17367);Köln Hbf;05.08.2025, 20:33;05.08.2025, 21:34;61
Hamm(Westf)Hbf;RE 1 (26824);Köln Hbf;06.08.2025, 17:12;06.08.2025, 18:12;60
Hamm(Westf)Hbf;RE 1 (26836);Köln Hbf;06.08.2025, 23:12;07.08.2025, 00:18;66
Krefeld Hbf;TRI RE7 (89453);Köln Hbf;07.08.2025, 00:18;07.08.2025, 01:22;65
Wuppertal-Oberbarmen;RB 48 (17339);Köln Hbf;08.08.2025, 13:33;08.08.2025, 14:35;62
Hamm(Westf)Hbf;RE 1 (26814);Köln Hbf;09.08.2025, 12:10;09.08.2025, 13:50;100
Hamm(Westf)Hbf;RE 1 (26816);Köln Hbf;09.08.2025, 13:12;09.08.2025, 14:23;72
Krefeld Hbf;RE 7 (17426);Köln Hbf;09.08.2025, 17:18;09.08.2025, 19:49;151
Wuppertal-Oberbarmen;RB 48 (17321);Köln Hbf;11.08.2025, 07:05;11.08.2025, 08:55;111
Wuppertal-Oberbarmen;RB 48 (17323);Köln Hbf;11.08.2025, 07:33;11.08.2025, 09:51;138
Hamm(Westf)Hbf;RE 1 (26814);Köln Hbf;11.08.2025, 10:10;11.08.2025, 11:15;66
Minden(Westf);RE 6 (89728);Köln Hbf;11.08.2025, 16:52;11.08.2025, 17:55;64
Hamm(Westf)Hbf;RE 1 (26826);Köln Hbf;11.08.2025, 16:12;11.08.2025, 18:25;133
Koblenz Hbf;RB 26 (25408);Köln Hbf;13.08.2025, 04:02;13.08.2025, 05:02;61
Hamm(Westf)Hbf;RE 1 (26826);Köln Hbf;13.08.2025, 16:12;13.08.2025, 18:07;115
Hamm(Westf)Hbf;RE 1 (26828);Köln Hbf;13.08.2025, 17:12;13.08.2025, 18:43;92
Koblenz Hbf;RE 5 (28538);Köln Hbf;14.08.2025, 21:28;14.08.2025, 22:31;63
Koblenz Hbf;RE 5 (28538);Köln Hbf;14.08.2025, 23:28;15.08.2025, 00:31;63
Köln Geldernstr./Parkgürtel;Bus S11 (758);Köln Hbf (Breslauer Platz);15.08.2025, 14:20;15.08.2025, 15:37;77
Hamm(Westf)Hbf;RE 1 (26824);Köln Hbf;15.08.2025, 17:12;15.08.2025, 18:21;70
Köln Geldernstr./Parkgürtel;Bus S11 (758);Köln Hbf (Breslauer Platz);15.08.2025, 12:20;15.08.2025, 13:37;77
Hamm(Westf)Hbf;RE 1 (26824);Köln Hbf;15.08.2025, 15:12;15.08.2025, 16:21;70
Krefeld Hbf;RE 7 (17414);Köln Hbf;17.08.2025, 11:18;17.08.2025, 12:24;66
Rommerskirchen;RE 8 (33727);Köln Hbf;17.08.2025, 12:00;17.08.2025, 13:12;72
Mönchengladbach Hbf;RB 27 (33729);Köln Hbf;17.08.2025, 12:35;17.08.2025, 13:52;78
Aachen Hbf;RE 1 (26819);Köln Hbf;17.08.2025, 12:44;17.08.2025, 14:14;90
Aachen Hbf;RE 9 (10915);Köln Hbf;17.08.2025, 13:12;17.08.2025, 14:21;69
Aachen Hbf;RE 1 (26821);Köln Hbf;17.08.2025, 13:44;17.08.2025, 14:54;70
Krefeld Hbf;RE 7 (17414);Köln Hbf;17.08.2025, 09:18;17.08.2025, 10:24;66
Rommerskirchen;RE 8 (33727);Köln Hbf;17.08.2025, 10:00;17.08.2025, 11:12;72
Mönchengladbach Hbf;RB 27 (33729);Köln Hbf;17.08.2025, 10:35;17.08.2025, 11:52;78
Aachen Hbf;RE 1 (26819);Köln Hbf;17.08.2025, 10:44;17.08.2025, 12:14;90
Aachen Hbf;RE 1 (26821);Köln Hbf;17.08.2025, 11:44;17.08.2025, 12:54;70
Aachen Hbf;RE 9 (10915);Köln Hbf;17.08.2025, 11:12;17.08.2025, 12:21;69
Troisdorf;RB 27 (33760);Köln Hbf;18.08.2025, 20:22;18.08.2025, 21:29;68
Siegen Hbf;RE 9 (10930);Köln Hbf;18.08.2025, 20:36;18.08.2025, 21:42;66
Troisdorf;RB 27 (33760);Köln Hbf;18.08.2025, 18:22;18.08.2025, 19:29;68
Siegen Hbf;RE 9 (10930);Köln Hbf;18.08.2025, 18:36;18.08.2025, 19:42;66
Neuss Hbf;Bus S11 (1114);Köln Hbf (Breslauer Platz);19.08.2025, 01:40;19.08.2025, 02:52;72
Hamm(Westf)Hbf;RE 1 (26832);Köln Hbf;19.08.2025, 21:12;19.08.2025, 23:14;123
Neuss Hbf;Bus S11 (1114);Köln Hbf (Breslauer Platz);18.08.2025, 23:40;19.08.2025, 00:52;72
Hamm(Westf)Hbf;RE 1 (26832);Köln Hbf;19.08.2025, 19:12;19.08.2025, 21:14;123
Hamm(Westf)Hbf;RE RE 1 (26816);Köln Hbf;22.08.2025, 13:12;22.08.2025, 14:12;61
Hamm(Westf)Hbf;RE RE 1 (26816);Köln Hbf;22.08.2025, 11:12;22.08.2025, 12:12;61
Hamm(Westf)Hbf;RE RE 1 (26836);Köln Hbf;22.08.2025, 21:18;22.08.2025, 22:22;65
Hamm(Westf)Hbf;RE RE 1 (26838);Köln Hbf;22.08.2025, 22:18;22.08.2025, 23:46;89
Hamm(Westf)Hbf;RE RE 1 (26836);Köln Hbf;22.08.2025, 23:18;23.08.2025, 00:22;65
Hamm(Westf)Hbf;RE RE 1 (26838);Köln Hbf;23.08.2025, 00:18;23.08.2025, 01:46;89
